Date Time,High Range (μS/cm)  #21113538,Temp (°C)  #21113538,Specific Conductance (μS/cm),Salinity (ppt)
06/09/23 12:20:00.000,33027.5,19.05,46489.6553942397,30.1753949586246
06/09/23 12:30:00.000,33373.1,18.32,47724.5843639536,31.0731557185483
06/09/23 12:40:00.000,33375.8,18.29,47758.4154569164,31.0978048733028
06/09/23 12:50:00.000,33441.8,18.29,47851.243338703,31.1654537782618
06/09/23 13:00:00.000,33391.6,18.25,47820.1212667612,31.1427709215212
06/09/23 13:10:00.000,33436.5,18.29,47841.0529859818,31.1580264199283
06/09/23 13:20:00.000,33441.8,18.3,47836.8427463488,31.1549578146475
06/09/23 13:30:00.000,33433.9,18.27,47855.6283811087,31.1686499494909
06/09/23 13:40:00.000,33455,18.3,47853.0337636051,31.1667587778586
06/09/23 13:50:00.000,33449.7,18.23,47917.4300944681,31.2137012219668
06/09/23 14:00:00.000,33449.7,18.27,47874.2229677872,31.1822037234025
06/09/23 14:10:00.000,33457.7,18.29,47863.3935491076,31.1743099482011
06/09/23 14:20:00.000,33486.8,18.33,47861.7329497843,31.1730995313173
06/09/23 14:30:00.000,33500.1,18.39,47816.6950810649,31.1402739483331
06/09/23 14:40:00.000,33500.1,18.44,47763.2596830298,31.1013345898235
06/09/23 14:50:00.000,33497.4,18.43,47768.5240296606,31.1051704925654
06/09/23 15:00:00.000,33542.5,18.53,47727.2060732064,31.0750657775737
06/09/23 15:10:00.000,33585,18.6,47713.4343626797,31.0650325268703
06/09/23 15:20:00.000,33571.7,18.6,47693.2841996957,31.0503531867505
06/09/23 15:30:00.000,33577.1,18.63,47668.5086291673,31.0323056701897
06/09/23 15:40:00.000,33577.1,18.7,47594.7354097439,30.9785755867112
06/09/23 15:50:00.000,33606.3,18.73,47603.669151547,30.9850814182722
06/09/23 16:00:00.000,33582.4,18.73,47568.6051046769,30.9595478470735
06/09/23 16:10:00.000,33651.7,18.75,47644.4777533242,31.0148021160948
06/09/23 16:20:00.000,33625,19.4,46941.6038731114,30.5034970747431
06/09/23 16:30:00.000,33595.7,18.75,47562.8064821128,30.9553256038452
06/09/23 16:40:00.000,33871.4,20.14,46539.6338423548,30.2116522115757
06/09/23 16:50:00.000,33670.3,19.26,47142.6587422196,30.649625338385
06/09/23 17:00:00.000,33670.3,18.97,47437.4740275995,30.8640862779385
06/09/23 17:10:00.000,33901.1,20.25,46467.7164423946,30.1594811967999
06/09/23 17:20:00.000,33796.2,19.82,46749.3663975312,30.363874070955
06/09/23 17:30:00.000,33844.5,20.48,46162.0220241052,29.9378693126159
06/09/23 17:40:00.000,33874.1,20.33,46348.1679866863,30.0727865253691
06/09/23 17:50:00.000,33823,20.14,46464.3291758173,30.1570242999083
06/09/23 18:00:00.000,33747.9,20.66,45851.8544074465,29.7132595551015
06/09/23 18:10:00.000,33879.5,20.37,46312.4017818435,30.0468565509842
06/09/23 18:20:00.000,33782.7,20.48,46071.562719892,29.872337162404
06/09/23 18:30:00.000,33796.2,20.23,46333.729352223,30.0623183323107
06/09/23 18:40:00.000,33879.5,20.23,46446.4067009528,30.1440250232092
06/09/23 18:50:00.000,33879.5,20.33,46346.6131228532,30.0716592037026
06/09/23 19:00:00.000,33917.2,20.27,46455.9302439531,30.1509324026317
06/09/23 19:10:00.000,33938.8,20.3,46454.574708476,30.1499492251581
06/09/23 19:20:00.000,33903.8,20.18,46523.9514091352,30.2002745798329
06/09/23 19:30:00.000,33874.1,20.13,46531.4690765405,30.205728581597
06/09/23 19:40:00.000,33882.2,20.04,46630.5638844759,30.2776345253188
06/09/23 19:50:00.000,33876.8,20.02,46641.7394081481,30.2857453735361
06/09/23 20:00:00.000,33911.9,20.02,46688.6706360289,30.3198100934306
06/09/23 20:10:00.000,33868.7,20.04,46608.1776739939,30.2613882705497
06/09/23 20:20:00.000,33868.7,20.07,46577.1200372624,30.2388510617594
06/09/23 20:30:00.000,33852.6,19.99,46633.177924467,30.2795316857559
06/09/23 20:40:00.000,33817.6,19.81,46763.153541289,30.3738845915539
06/09/23 20:50:00.000,33833.8,19.72,46874.3663605497,30.4546513921804
06/09/23 21:00:00.000,33844.5,19.63,46978.3312321723,30.5301830906911
06/09/23 21:10:00.000,33777.4,19.56,46954.556992688,30.5129083882137
06/09/23 21:20:00.000,33777.4,19.42,47094.6427525264,30.6147175424895
06/09/23 21:30:00.000,33758.6,19.45,47036.8644124633,30.5727202983429
06/09/23 21:40:00.000,33713.1,19.32,47103.858701503,30.6214171131373
06/09/23 21:50:00.000,33726.5,19.31,47131.3808628932,30.6414257501688
06/09/23 22:00:00.000,33707.8,19.24,47175.1043575222,30.6732167538883
06/09/23 22:10:00.000,33699.7,19.26,47142.177044747,30.6492751133309
06/09/23 22:20:00.000,33715.8,19.28,47143.0238415877,30.6498907895107
06/09/23 22:30:00.000,33750.6,19.31,47159.7769123727,30.6620717345724
06/09/23 22:40:00.000,33713.1,19.27,47146.8179448238,30.6526493709491
06/09/23 22:50:00.000,33750.6,19.3,47167.3349114909,30.6675672946503
