Date Time,High Range (μS/cm)  #21113538,Temp (°C)  #21113538,Specific Conductance:1 point Calibration (μS/cm),Salinity:1 point calibration (ppt),Salinity:2 point calibration (ppt),Difference: 2 point -1point
06/09/23 12:20:00.000,33027.5,19.05,46489.6553942397,30.1753949586246,30.1753949586246,0
06/09/23 12:30:00.000,33373.1,18.32,47725.8963149057,31.0741115446014,31.0731557185483,-0.0009558260531
06/09/23 12:40:00.000,33375.8,18.29,47761.0412910413,31.0997181642733,31.0978048733028,-0.0019132909705
06/09/23 12:50:00.000,33441.8,18.29,47855.1898541216,31.1683303135806,31.1654537782618,-0.0028765353188
06/09/23 13:00:00.000,33391.6,18.25,47825.3800095136,31.1466035040111,31.1427709215212,-0.0038325824899
06/09/23 13:10:00.000,33436.5,18.29,47847.6294725318,31.1628197391129,31.1580264199283,-0.0047933191846
06/09/23 13:20:00.000,33441.8,18.3,47844.7340526506,31.1607093780585,31.1549578146475,-0.005751563411
06/09/23 13:30:00.000,33433.9,18.27,47864.8387737789,31.1753633834445,31.1686499494909,-0.0067134339536
06/09/23 13:40:00.000,33455,18.3,47863.5596453581,31.174431016749,31.1667587778586,-0.0076722388904
06/09/23 13:50:00.000,33449.7,18.23,47929.2879728651,31.2223463118832,31.2137012219668,-0.0086450899164
06/09/23 14:00:00.000,33449.7,18.27,47887.3868699131,31.191799552198,31.1822037234025,-0.0095958287955
06/09/23 14:10:00.000,33457.7,18.29,47877.8709640057,31.1848628866104,31.1743099482011,-0.0105529384093
06/09/23 14:20:00.000,33486.8,18.33,47877.526379641,31.1846117045074,31.1730995313173,-0.0115121731901
06/09/23 14:30:00.000,33500.1,18.39,47833.7890000532,31.1527321401796,31.1402739483331,-0.0124581918465
06/09/23 14:40:00.000,33500.1,18.44,47781.6484525714,31.1147340024579,31.1013345898235,-0.0133994126344
06/09/23 14:50:00.000,33497.4,18.43,47788.2289961578,31.1195292811316,31.1051704925654,-0.0143587885662
06/09/23 15:00:00.000,33542.5,18.53,47748.2071013619,31.0903668118873,31.0750657775737,-0.0153010343136
06/09/23 15:10:00.000,33585,18.6,47735.7421299905,31.0812848848049,31.0650325268703,-0.0162523579346
06/09/23 15:20:00.000,33571.7,18.6,47716.8948628495,31.0675535963153,31.0503531867505,-0.0172004095648
06/09/23 15:30:00.000,33577.1,18.63,47693.4187343302,31.0504511914369,31.0323056701897,-0.0181455212472
06/09/23 15:40:00.000,33577.1,18.7,47620.9167124927,30.9976422107163,30.9785755867112,-0.0190666240051
06/09/23 15:50:00.000,33606.3,18.73,47631.1654357657,31.0051063554179,30.9850814182722,-0.0200249371457
06/09/23 16:00:00.000,33582.4,18.73,47597.3903097709,30.9805089470704,30.9595478470735,-0.0209610999969
06/09/23 16:10:00.000,33651.7,18.75,47674.6202057148,31.0367574414081,31.0148021160948,-0.0219553253133
06/09/23 16:20:00.000,33625,19.4,46972.5937098903,30.5260139925696,30.5034970747431,-0.0225169178265
06/09/23 16:30:00.000,33595.7,18.75,47595.5156541231,30.9791437770688,30.9553256038452,-0.0238181732236
06/09/23 16:40:00.000,33871.4,20.14,46572.9205104988,30.2358038330313,30.2116522115757,-0.0241516214556
06/09/23 16:50:00.000,33670.3,19.26,47177.6745217894,30.6750856518923,30.649625338385,-0.0254603135073
06/09/23 17:00:00.000,33670.3,18.97,47474.0147810181,30.8906830155079,30.8640862779385,-0.0265967375694
06/09/23 17:10:00.000,33901.1,20.25,46504.789566675,30.1863734859921,30.1594811967999,-0.0268922891922
06/09/23 17:20:00.000,33796.2,19.82,46787.9514229498,30.3918909743723,30.363874070955,-0.0280169034173
06/09/23 17:30:00.000,33844.5,20.48,46201.3933710615,29.9663979644594,29.9378693126159,-0.0285286518435
06/09/23 17:40:00.000,33874.1,20.33,46388.97438409,30.102374569836,30.0727865253691,-0.0295880444669
06/09/23 17:50:00.000,33823,20.14,46506.517401881,30.1876269176525,30.1570242999083,-0.0306026177442
06/09/23 18:00:00.000,33747.9,20.66,45894.749284205,29.74430742877,29.7132595551015,-0.0310478736685
06/09/23 18:10:00.000,33879.5,20.37,46357.0030185501,30.0791922990086,30.0468565509842,-0.0323357480244
06/09/23 18:20:00.000,33782.7,20.48,46117.2009660829,29.9053966150874,29.872337162404,-0.0330594526834
06/09/23 18:30:00.000,33796.2,20.23,46380.903540336,30.0965221958343,30.0623183323107,-0.0342038635236
06/09/23 18:40:00.000,33879.5,20.23,46494.9750253952,30.179253822025,30.1440250232092,-0.0352287988158
06/09/23 18:50:00.000,33879.5,20.33,46396.3538310632,30.1077257405483,30.0716592037026,-0.0360665368457
06/09/23 19:00:00.000,33917.2,20.27,46507.0680931911,30.1880264098597,30.1509324026317,-0.037094007228
06/09/23 19:10:00.000,33938.8,20.3,46506.9909169627,30.1879704232715,30.1499492251581,-0.0380211981134
06/09/23 19:20:00.000,33903.8,20.18,46577.7277309293,30.2392920155655,30.2002745798329,-0.0390174357326
