#	"Date Time, GMT-04:00"	"DO_conc"	"Temp"
1	6/7/2023 11:50	10	17.66
2	6/7/2023 12:00	10.33	17.04
3	6/7/2023 12:10	10.49	16.9
4	6/7/2023 12:20	10.43	16.92
5	6/7/2023 12:30	10.44	16.94
6	6/7/2023 12:40	10.45	17.08
7	6/7/2023 12:50	10.4	17.26
8	6/7/2023 13:00	10.32	17.36
9	6/7/2023 13:10	10.36	17.7
10	6/7/2023 13:20	10.47	17.74
11	6/7/2023 13:30	10.48	17.84
12	6/7/2023 13:40	10.36	17.7
13	6/7/2023 13:50	10.38	17.62
14	6/7/2023 14:00	10.42	17.56
15	6/7/2023 14:10	10.45	17.62
16	6/7/2023 14:20	10.43	17.64
17	6/7/2023 14:30	10.41	17.64
18	6/7/2023 14:40	10.37	17.72
19	6/7/2023 14:50	10.5	17.66
20	6/7/2023 15:00	10.58	17.76
21	6/7/2023 15:10	10.64	17.76
22	6/7/2023 15:20	10.71	17.78
23	6/7/2023 15:30	10.77	17.84
24	6/7/2023 15:40	10.85	17.88
25	6/7/2023 15:50	10.7	18.2
26	6/7/2023 16:00	10.69	18.18
27	6/7/2023 16:10	10.71	18.18
28	6/7/2023 16:20	10.74	18.2
29	6/7/2023 16:30	10.8	18.38
30	6/7/2023 16:40	10.67	18.36
31	6/7/2023 16:50	10.67	18.44
32	6/7/2023 17:00	10.66	18.5
33	6/7/2023 17:10	10.57	18.5
34	6/7/2023 17:20	10.51	18.48
35	6/7/2023 17:30	10.49	18.48
36	6/7/2023 17:40	10.56	18.28
37	6/7/2023 17:50	10.56	18.14
38	6/7/2023 18:00	10.51	18.3
39	6/7/2023 18:10	10.43	18.4
40	6/7/2023 18:20	10.38	18.44
41	6/7/2023 18:30	10.5	18.36
42	6/7/2023 18:40	10.53	18.32
43	6/7/2023 18:50	10.5	18.42
44	6/7/2023 19:00	10.45	18.44
45	6/7/2023 19:10	10.43	18.52
46	6/7/2023 19:20	10.35	18.5
47	6/7/2023 19:30	10.29	18.52
48	6/7/2023 19:40	10.21	18.34
49	6/7/2023 19:50	10.21	18.34
50	6/7/2023 20:00	10.1	18.36
51	6/7/2023 20:10	9.93	18.28
52	6/7/2023 20:20	9.71	18.18
53	6/7/2023 20:30	9.92	18.02
