#,"Date Time, GMT-04:00",DO_conc,Temp,DOFWCAL,TS,SC,DOSW,DOFIELDCAL
"
1",2023-06-07 11:50:00,10.0,17.66,10.532190000000002,-0.03613205926020872,0.8308568056980035,8.400712070788277,10.1109024
"
2",2023-06-07 12:00:00,10.33,17.04,10.8794193,-0.031789829054200275,0.8298514808469626,8.667170128185624,10.444242528
"
3",2023-06-07 12:10:00,10.49,16.9,11.047772900000002,-0.030809368393443306,0.8308312377429291,8.811681439497399,10.605861984
"
4",2023-06-07 12:20:00,10.43,16.92,10.9846403,-0.030949433284562105,0.8311392972134808,8.764575570321483,10.545254688
"
5",2023-06-07 12:30:00,10.44,16.94,10.9951624,-0.031089498479242694,0.8310398855641311,8.771921762548835,10.555355903999999
"
6",2023-06-07 12:40:00,10.45,17.08,11.005684500000001,-0.03206996345724097,0.8325488129480964,8.796258783510014,10.565457120000001
"
7",2023-06-07 12:50:00,10.4,17.26,10.953074,-0.033330584000561485,0.8331237475729703,8.7602554159911,10.51495104
"
8",2023-06-07 13:00:00,10.32,17.36,10.868897200000001,-0.0340309401255094,0.8333021965023379,8.694792873905387,10.434141312000001
"
9",2023-06-07 13:10:00,10.36,17.7,10.9109856,-0.03641221440242451,0.834866702675768,8.744849827982195,10.474546176
"
10",2023-06-07 13:20:00,10.47,17.74,11.026728700000001,-0.036692370973431206,0.835501870839437,8.844338359765358,10.585659552000001
"
11",2023-06-07 13:30:00,10.48,17.84,11.0372508,-0.03739276872412932,0.8351904683470316,8.849478398319023,10.595760768
"
12",2023-06-07 13:40:00,10.36,17.7,10.9109856,-0.03641221440242451,0.8343131113499767,8.73905121007756,10.474546176
"
13",2023-06-07 13:50:00,10.38,17.62,10.932029800000002,-0.035851905535777696,0.8343976490162288,8.756793565531542,10.494748608000002
"
14",2023-06-07 14:00:00,10.42,17.56,10.974118200000001,-0.035431677583406186,0.8343448360566258,8.789950896427232,10.535153472000001
"
15",2023-06-07 14:10:00,10.45,17.62,11.005684500000001,-0.035851905535777696,0.8345525810055762,8.817429508999743,10.565457120000001
"
16",2023-06-07 14:20:00,10.43,17.64,10.9846403,-0.03599198222145763,0.8344940335210824,8.799952119096224,10.545254688
"
17",2023-06-07 14:30:00,10.41,17.64,10.9635961,-0.03599198222145763,0.8354227193751032,8.792867777272585,10.525052256
"
18",2023-06-07 14:40:00,10.37,17.72,10.9215077,-0.036552292508641435,0.8351791984659879,8.75655940504907,10.484647392
"
19",2023-06-07 14:50:00,10.5,17.66,11.058295000000001,-0.03613205926020872,0.8343726554693897,8.85766940554932,10.615963200000001
"
20",2023-06-07 15:00:00,10.58,17.76,11.142471800000001,-0.036832449798169895,0.8347175303994118,8.928783881703444,10.696772928
"
21",2023-06-07 15:10:00,10.64,17.76,11.205604400000002,-0.036832449798169895,0.8349621616009096,8.98200544499392,10.757380224000002
"
22",2023-06-07 15:20:00,10.71,17.78,11.279259100000003,-0.03697252898423331,0.8350759221018691,9.042276185816064,10.828088736000002
"
23",2023-06-07 15:30:00,10.77,17.84,11.3423917,-0.03739276872412932,0.835228676155399,9.094551171865906,10.888696032
